date,description,amount,category
2024-10-13,Therapy,14.48,Healthcare
2024-10-13,Car rental,115.46,Transportation
2024-10-13,Uber,8.16,Transportation
2024-10-14,Doctor visit,28.56,Healthcare
2024-10-14,Therapy,31.57,Healthcare
2024-10-14,Car rental,99.54,Transportation
2024-10-14,Electronics,85.44,Shopping
2024-10-15,Concert,100.74,Entertainment
2024-10-15,Uber,48.91,Transportation
2024-10-15,Water bill,31.4,Utilities
2024-10-16,Books,13.65,Shopping
2024-10-16,Fast food,70.23,Food
2024-10-17,Books,112.24,Shopping
2024-10-17,Supermarket,130.31,Food
2024-10-17,Phone bill,44.67,Utilities
2024-10-18,Gas station,59.87,Transportation
2024-10-19,Gas bill,143.24,Utilities
2024-10-20,Clothes,148.82,Shopping
2024-10-20,Movie ticket,130.15,Entertainment
2024-10-21,Vitamins,28.78,Healthcare
2024-10-21,Electricity bill,124.76,Utilities
2024-10-22,Vitamins,95.4,Healthcare
2024-10-23,Home decor,146.08,Shopping
2024-10-24,Bus ticket,49.2,Transportation
2024-10-24,Groceries,111.17,Food
2024-10-24,Bus ticket,126.0,Transportation
2024-10-24,Gaming,28.43,Entertainment
2024-10-25,Electricity bill,21.95,Utilities
2024-10-26,Water bill,108.3,Utilities
2024-10-26,Electronics,40.02,Shopping
2024-10-27,Gas station,14.94,Transportation
2024-10-27,Electronics,139.73,Shopping
2024-10-28,Supermarket,143.98,Food
2024-10-28,Movie ticket,60.02,Entertainment
2024-10-28,Fast food,33.48,Food
2024-10-28,Gift,39.6,Shopping
